"","Veg_Pot","Annee","PlacetteID","origTreeID","Espece","Etat","Nombre","DHPcm","Type_Eco","reg_eco","Altitude","PTot","TMoy","Cl_Drai","hauteur_pred","milieu","sdom_bio","GrEspece","vol_dm3"
"109","FE2",2045,"FE22",29,"OSV","vivant",0.211867263580177,12.0679732097538,"FE22","3c",250,1312,2,30,12.8959171015183,"2","3E","OSV",43.4856596498075
"110","FE2",2035,"FE22",30,"PEU","vivant",1.03625781654966,11.897359787455,"FE22","3c",250,1312,2,30,12.1915250828942,"2","3E","PEU",43.3278961510034
"111","FE2",2045,"FE22",30,"PEU","vivant",0.689248990088762,16.297359787455,"FE22","3c",250,1312,2,30,14.8933530746868,"2","3E","PEU",122.281561745095
"112","FE2",2035,"FE22",31,"PRP","vivant",0.710413405717884,10.7480282433382,"FE22","3c",250,1312,2,30,12.3218539403328,"2","3E","PRP",NA
"113","FE2",2045,"FE22",31,"PRP","vivant",0.243871483861529,12.6480282433382,"FE22","3c",250,1312,2,30,13.6440567963918,"2","3E","PRP",NA
"114","FE2",2035,"FE22",32,"PRU","vivant",0.0776864267609105,11.7656278298035,"FE22","3c",250,1312,2,30,7.19088538295989,"2","3E","PRU",23.1449762647744
"115","FE2",2045,"FE22",32,"PRU","vivant",0.0717169396982828,14.5656278298035,"FE22","3c",250,1312,2,30,8.77690984555234,"2","3E","PRU",51.6439625967227
"116","FE2",2035,"FE22",33,"SAB","vivant",0.941374300195412,11.2859989212836,"FE22","3c",250,1312,2,30,8.72809781285121,"2","3E","SAB",28.6669915279166
"117","FE2",2045,"FE22",33,"SAB","vivant",0.746978200287855,15.0859989212836,"FE22","3c",250,1312,2,30,11.2532954403184,"2","3E","SAB",79.941857271738
"118","FE2",2035,"FE22",34,"TIL","vivant",0.377619271785196,11.3033064860848,"FE22","3c",250,1312,2,30,11.4390558449438,"2","3E","TIL",30.2803449559495
"119","FE2",2045,"FE22",34,"TIL","vivant",0.311196314775429,13.6033064860848,"FE22","3c",250,1312,2,30,13.2693411253196,"2","3E","TIL",62.4716917672877
"120","FE2",2045,"FE22",35,NA,"vivant",0.0841425170068627,11.3260197299179,"FE22","3c",250,1312,2,30,12.0452070556265,"2","3E","AUT",34.6853112805263
"121","FE2",2045,"FE22",36,"BOG","vivant",0.0434256011719534,10.3225303304087,"FE22","3c",250,1312,2,30,10.8374177736856,"2","3E","BOG",21.9589438795401
"122","FE2",2045,"FE22",37,"BOJ","vivant",0.499420990005757,11.2159236353894,"FE22","3c",250,1312,2,30,11.9952108353548,"2","3E","BOJ",33.3789010450521
"123","FE2",2045,"FE22",38,"BOP","vivant",0.238633230539535,10.9983251628831,"FE22","3c",250,1312,2,30,12.8053354273918,"2","3E","BOP",34.7368699184061
"124","FE2",2045,"FE22",39,"CET","vivant",0.222200451549894,11.1336395920483,"FE22","3c",250,1312,2,30,12.4575713540518,"2","3E","CET",32.3401361471026
"125","FE2",2045,"FE22",40,"CHX","vivant",0.0474922609561422,11.9187793065284,"FE22","3c",250,1312,2,30,12.0780631328193,"2","3E","CHX",40.2224800219388
"126","FE2",2045,"FE22",41,NA,"vivant",0.112819125507141,11.2569989404869,"FE22","3c",250,1312,2,30,7.99479412115991,"2","3E","EPX",26.5793903877244
"127","FE2",2045,"FE22",42,"ERP","vivant",0.311209203297136,10.5070981066037,"FE22","3c",250,1312,2,30,11.4348452409922,"2","3E","ERP",23.064219191727
"128","FE2",2045,"FE22",43,"ERR","vivant",0.665057156299326,11.0217571046504,"FE22","3c",250,1312,2,30,11.7074235406373,"2","3E","ERR",27.1819868228135
"129","FE2",2045,"FE22",44,"ERS","vivant",1.61481214935228,10.8104105735899,"FE22","3c",250,1312,2,30,11.5948858827086,"2","3E","ERS",26.2862675040461
"130","FE2",2045,"FE22",45,"FRA","vivant",0.378317410688313,11.5757406114541,"FE22","3c",250,1312,2,30,14.2212927555471,"2","3E","FRA",38.0148915535905
"131","FE2",2045,"FE22",46,"HEG","vivant",0.582198159314633,10.920287879645,"FE22","3c",250,1312,2,30,11.312853740784,"2","3E","HEG",30.1060669378857
"132","FE2",2045,"FE22",47,"ORA","vivant",0.155199332697254,11.4332243361309,"FE22","3c",250,1312,2,30,11.0584161922591,"2","3E","ORA",29.8745775615678
"133","FE2",2045,"FE22",48,"OSV","vivant",0.221139508220745,10.128322941584,"FE22","3c",250,1312,2,30,11.9728828545942,"2","3E","OSV",20.705299462762
"134","FE2",2045,"FE22",49,"PEU","vivant",0.405605944741842,11.5628897489105,"FE22","3c",250,1312,2,30,12.5173119631815,"2","3E","PEU",40.5994967181149
"135","FE2",2045,"FE22",50,"PRP","vivant",0.217205242025872,10.5509795574509,"FE22","3c",250,1312,2,30,12.5599060320069,"2","3E","PRP",NA
"136","FE2",2045,"FE22",51,"PRU","vivant",0.0688498279120195,11.4469084977469,"FE22","3c",250,1312,2,30,7.22081459018288,"2","3E","PRU",21.2185128865538
"137","FE2",2045,"FE22",52,"SAB","vivant",0.917642259623208,11.0246270567351,"FE22","3c",250,1312,2,30,8.86234414677521,"2","3E","SAB",26.9794499723658
"138","FE2",2045,"FE22",53,"TIL","vivant",0.222809454032986,11.0398652195623,"FE22","3c",250,1312,2,30,11.5853390632591,"2","3E","TIL",28.1078694397334
"139","FE3",2025,"FE32",1,"BOJ","vivant",1,15,"FE32","3c",250,1312,2,30,12.5830516999105,"2","3E","BOJ",81.3111313552164
"140","FE3",2035,"FE32",1,"BOJ","vivant",0.906078192776473,19.2,"FE32","3c",250,1312,2,30,14.1931802510506,"2","3E","BOJ",163.243840346978
"141","FE3",2045,"FE32",1,"BOJ","vivant",0.82501613398602,23.1,"FE32","3c",250,1312,2,30,15.5774015296073,"2","3E","BOJ",267.343324955852
"142","FE3",2025,"FE32",2,"BOP","vivant",1,15,"FE32","3c",250,1312,2,30,14.0143501987272,"2","3E","BOP",93.6873757234137
"143","FE3",2035,"FE32",2,"BOP","vivant",0.842099256773008,18.9,"FE32","3c",250,1312,2,30,15.8919513565697,"2","3E","BOP",182.124218660262
"144","FE3",2045,"FE32",2,"BOP","vivant",0.706805770145649,22.4,"FE32","3c",250,1312,2,30,17.498980604525,"2","3E","BOP",290.002147199915
"145","FE3",2025,"FE32",3,"CET","vivant",1,15,"FE32","3c",250,1312,2,30,13.6295269747495,"2","3E","CET",85.2386304627952
"146","FE3",2035,"FE32",3,"CET","vivant",0.816655308130481,19.9,"FE32","3c",250,1312,2,30,16.0305456126402,"2","3E","CET",193.659093229103
"147","FE3",2045,"FE32",3,"CET","vivant",0.650809190034654,24,"FE32","3c",250,1312,2,30,17.9149151711272,"2","3E","CET",323.797276030033
"148","FE3",2025,"FE32",4,"CHR","vivant",1,15,"FE32","3c",250,1312,2,30,14.0791004230325,"2","3E","CHX",89.179378473167
"149","FE3",2035,"FE32",4,"CHR","vivant",0.943633446756334,21.5,"FE32","3c",250,1312,2,30,16.8385158782048,"2","3E","CHX",243.49211505904
"150","FE3",2045,"FE32",4,"CHR","vivant",0.896477367374277,27.7,"FE32","3c",250,1312,2,30,19.065442350426,"2","3E","CHX",470.164545681796
"151","FE3",2025,"FE32",5,"EPB","vivant",1,15,"FE32","3c",250,1312,2,30,9.5039348196998,"2","3E","EPX",68.4651841591093
"152","FE3",2035,"FE32",5,"EPB","vivant",0.872902108070723,18.9,"FE32","3c",250,1312,2,30,11.9647080534971,"2","3E","EPX",143.880561837009
"153","FE3",2045,"FE32",5,"EPB","vivant",0.755940189154724,22.5,"FE32","3c",250,1312,2,30,14.1389557461249,"2","3E","EPX",243.098303007418
"154","FE3",2025,"FE32",6,"ERP","vivant",1,15,"FE32","3c",250,1312,2,30,12.6682524068414,"2","3E","ERP",77.8800494107495
"155","FE3",2035,"FE32",6,"ERP","vivant",0.290057902912111,16.5,"FE32","3c",250,1312,2,30,13.5901933038996,"2","3E","ERP",105.454937181597
"156","FE3",2045,"FE32",6,"ERP","vivant",0.0533428931973135,17.7,"FE32","3c",250,1312,2,30,14.3925521374132,"2","3E","ERP",131.566220694579
"157","FE3",2025,"FE32",7,"ERR","vivant",1,15,"FE32","3c",250,1312,2,30,12.6084787162305,"2","3E","ERR",74.6725939479245
"158","FE3",2035,"FE32",7,"ERR","vivant",0.891280274498602,18.7,"FE32","3c",250,1312,2,30,14.255788591094,"2","3E","ERR",142.652826245861
"159","FE3",2045,"FE32",7,"ERR","vivant",0.788061017775625,22.2,"FE32","3c",250,1312,2,30,15.7357032200391,"2","3E","ERR",229.555052482073
"160","FE3",2025,"FE32",8,"ERS","vivant",1,15,"FE32","3c",250,1312,2,30,12.6682524068414,"2","3E","ERS",77.8800494107495
"161","FE3",2035,"FE32",8,"ERS","vivant",0.929157376999193,18.5,"FE32","3c",250,1312,2,30,14.2179683653113,"2","3E","ERS",143.728384649444
"162","FE3",2045,"FE32",8,"ERS","vivant",0.863246739785789,21.8,"FE32","3c",250,1312,2,30,15.5978658706367,"2","3E","ERS",226.2313833499
"163","FE3",2025,"FE32",9,"FRA","vivant",1,15,"FE32","3c",250,1312,2,30,15.2116592628266,"2","3E","FRA",87.356356303415
"164","FE3",2035,"FE32",9,"FRA","vivant",0.927181265658367,21.3,"FE32","3c",250,1312,2,30,18.262908606483,"2","3E","FRA",237.039596823701
"165","FE3",2045,"FE32",9,"FRA","vivant",0.866841987575404,26.9,"FE32","3c",250,1312,2,30,20.6561204791109,"2","3E","FRA",440.068851190907
"166","FE3",2025,"FE32",10,"FRN","vivant",1,15,"FE32","3c",250,1312,2,30,14.3871342974789,"2","3E","FRN",93.8395339778716
"167","FE3",2035,"FE32",10,"FRN","vivant",0.872662622210323,18.3,"FE32","3c",250,1312,2,30,16.3180744246221,"2","3E","FRN",170.056311350567
